Unit_Id,Institution_name,foreign_2018,total_2018,foreign_2019,total_2019,foreign_2020,total_2020,intl_ratio_2018,intl_ratio_2019,intl_ratio_2020
201946,University of Cincinnati-Clermont College,3,670,1,629,2,597,0.0044776119402985077,0.001589825119236884,0.0033500837520938024
173160,Bethel University,2,619,1,586,2,479,0.0032310177705977385,0.0017064846416382253,0.0041753653444676405
214272,Neumann University,2,421,1,418,2,412,0.0047505938242280287,0.0023923444976076554,0.0048543689320388345
129215,Eastern Connecticut State University,7,973,2,874,2,841,0.0071942446043165471,0.0022883295194508009,0.0023781212841854932
200022,Bismarck State College,4,864,2,817,2,795,0.0046296296296296294,0.0024479804161566705,0.0025157232704402514
216524,Ursinus College,8,378,2,431,2,437,0.021164021164021163,0.0046403712296983757,0.0045766590389016018
114433,Feather River Community College District,11,339,2,302,2,262,0.032448377581120944,0.0066225165562913907,0.0076335877862595417
161554,University of Southern Maine,3,947,3,893,2,808,0.0031678986272439284,0.0033594624860022394,0.0024752475247524753
151379,Indiana University-Southeast,8,1012,3,948,2,800,0.0079051383399209481,0.0031645569620253164,0.0025
217633,Anderson University,5,643,3,639,2,698,0.0077760497667185074,0.0046948356807511738,0.0028653295128939827
139144,Berry College,1,509,3,577,2,619,0.0019646365422396855,0.0051993067590987872,0.0032310177705977385
212197,Elizabethtown College,7,386,3,377,2,405,0.018134715025906734,0.0079575596816976128,0.0049382716049382715
180948,Chadron State College,6,368,3,399,2,377,0.016304347826086956,0.0075187969924812026,0.0053050397877984082
203085,Heidelberg University,0,329,3,332,2,322,0.0,0.0090361445783132526,0.0062111801242236021
445188,University of California-Merced,2,2214,4,2105,2,1951,0.00090334236675700087,0.0019002375296912114,0.0010251153254741158
229179,Texas Woman's University,2,1244,4,1301,2,1130,0.0016077170418006431,0.0030745580322828594,0.0017699115044247787
213613,Lock Haven University,1,694,4,598,2,617,0.001440922190201729,0.006688963210702341,0.0032414910858995136
221661,Southern Adventist University,4,502,4,512,2,493,0.00796812749003984,0.0078125,0.0040567951318458417
200059,Dickinson State University,6,181,4,202,2,244,0.033149171270718231,0.019801980198019802,0.00819672131147541
187897,New Mexico Highlands University,4,281,4,280,2,193,0.014234875444839857,0.014285714285714285,0.010362694300518135
211158,Bloomsburg University of Pennsylvania,1,1848,5,1992,2,1593,0.00054112554112554113,0.0025100401606425703,0.0012554927809165098
157386,Morehead State University,3,1472,5,1315,2,1199,0.0020380434782608695,0.0038022813688212928,0.0016680567139282735
240471,University of Wisconsin-River Falls,10,1314,5,1203,2,1088,0.0076103500761035,0.0041562759767248547,0.001838235294117647
237701,Potomac State College of West Virginia University,3,537,5,469,2,400,0.00558659217877095,0.010660980810234541,0.005
162760,Hood College,3,239,5,320,2,293,0.012552301255230125,0.015625,0.0068259385665529011
174251,University of Minnesota-Morris,10,370,5,322,2,269,0.027027027027027029,0.015527950310559006,0.0074349442379182153
154712,Benedictine College,1,570,6,524,2,575,0.0017543859649122807,0.011450381679389313,0.0034782608695652175
199102,North Carolina A & T State University,7,2204,7,2289,2,2136,0.0031760435571687841,0.0030581039755351682,0.00093632958801498128
240329,University of Wisconsin-La Crosse,3,2179,8,2203,2,2141,0.0013767783386874712,0.003631411711302769,0.00093414292386735165
212656,Geneva College,8,306,8,314,2,275,0.026143790849673203,0.025477707006369428,0.0072727272727272727
155025,Emporia State University,0,658,12,680,2,565,0.0,0.017647058823529412,0.0035398230088495575
214157,Moravian College,6,449,12,428,2,428,0.013363028953229399,0.028037383177570093,0.0046728971962616819
133650,Florida Agricultural and Mechanical University,13,1421,16,1340,2,1040,0.0091484869809992965,0.011940298507462687,0.0019230769230769232
152600,Valparaiso University,4,756,22,647,2,637,0.0052910052910052907,0.034003091190108192,0.0031397174254317113
181783,Wayne State College,9,721,25,730,2,813,0.012482662968099861,0.034246575342465752,0.0024600246002460025
131399,University of the District of Columbia,32,617,34,651,2,391,0.051863857374392218,0.052227342549923193,0.0051150895140664966
172200,Schoolcraft College,19,1730,52,1744,2,1546,0.010982658959537572,0.029816513761467892,0.00129366106080207
160621,Southern University and A & M College,1,1342,0,0,3,1370,0.00074515648286140089,0.0,0.0021897810218978104
159009,Grambling State University,0,923,0,874,3,1241,0.0,0.0,0.0024174053182917004
174358,Minnesota State University Moorhead,24,796,0,0,3,730,0.03015075376884422,0.0,0.00410958904109589
238476,Carthage College,5,763,0,0,3,724,0.00655307994757536,0.0,0.0041436464088397788
216278,Susquehanna University,15,619,0,0,3,573,0.024232633279483037,0.0,0.005235602094240838
140696,Oglethorpe University,8,334,0,0,3,418,0.023952095808383235,0.0,0.0071770334928229667
170675,Lawrence Technological University,1,387,0,0,3,371,0.0025839793281653748,0.0,0.0080862533692722376
215743,Saint Francis University,1,363,0,0,3,335,0.0027548209366391185,0.0,0.0089552238805970154
215132,University of the Sciences,2,323,0,0,3,317,0.0061919504643962852,0.0,0.00946372239747634
142461,Northwest Nazarene University,4,278,0,0,3,283,0.014388489208633094,0.0,0.010600706713780919
117627,La Sierra University,10,356,0,0,3,282,0.028089887640449437,0.0,0.010638297872340425
181020,Doane University-Arts & Sciences,3,259,0,319,3,268,0.011583011583011582,0.0,0.011194029850746268
113698,Dominican University of California,0,288,0,0,3,267,0.0,0.0,0.011235955056179775
213303,Keystone College,0,335,0,0,3,232,0.0,0.0,0.012931034482758621
157377,Midway University,0,235,0,0,3,225,0.0,0.0,0.013333333333333334
236133,Northwest University,10,220,0,0,3,159,0.045454545454545456,0.0,0.018867924528301886
125231,Walden University,1,127,0,148,3,155,0.007874015748031496,0.0,0.01935483870967742
182005,College of Southern Nevada,0,6213,1,5539,3,4200,0.0,0.00018053800324968405,0.00071428571428571429
137759,Tallahassee Community College,2,2941,1,2839,3,3241,0.00068004080244814691,0.00035223670306445932,0.00092564023449552611
201195,Baldwin Wallace University,4,677,1,665,3,659,0.0059084194977843431,0.0015037593984962407,0.004552352048558422
130314,University of Saint Joseph,0,218,1,204,3,185,0.0,0.0049019607843137254,0.016216216216216217
215284,University of Pittsburgh-Johnstown,22,663,2,605,3,520,0.033182503770739065,0.0033057851239669421,0.0057692307692307696
133021,Chipola College,7,490,2,416,3,384,0.014285714285714285,0.004807692307692308,0.0078125
218733,South Carolina State University,4,541,3,371,3,479,0.0073937153419593345,0.0080862533692722376,0.0062630480167014616
152336,University of Saint Francis-Fort Wayne,0,347,3,394,3,404,0.0,0.0076142131979695434,0.0074257425742574254
212133,Eastern University,2,423,3,357,3,372,0.0047281323877068557,0.0084033613445378148,0.0080645161290322578
229780,Wayland Baptist University,9,315,3,249,3,298,0.028571428571428571,0.012048192771084338,0.010067114093959731
170806,Madonna University,1,220,3,266,3,281,0.0045454545454545452,0.011278195488721804,0.010676156583629894
161235,University of Maine at Fort Kent,10,157,3,132,3,91,0.063694267515923567,0.022727272727272728,0.032967032967032968
154688,Baker University,8,247,4,245,3,224,0.032388663967611336,0.0163265306122449,0.013392857142857142
199184,University of North Carolina School of the Arts,8,243,4,234,3,219,0.03292181069958848,0.017094017094017096,0.0136986301369863
172334,Spring Arbor University,3,192,4,216,3,208,0.015625,0.018518518518518517,0.014423076923076924
236328,University of Puget Sound,5,653,5,615,3,393,0.007656967840735069,0.008130081300813009,0.0076335877862595417
215266,University of Pittsburgh-Bradford,7,355,5,432,3,366,0.019718309859154931,0.011574074074074073,0.00819672131147541
155089,Friends University,2,173,5,177,3,212,0.011560693641618497,0.028248587570621469,0.014150943396226415
220710,Maryville College,1,282,6,272,3,271,0.0035460992907801418,0.022058823529411766,0.01107011070110701
207458,Oklahoma City University,9,373,7,327,3,325,0.024128686327077747,0.021406727828746176,0.0092307692307692316
