state_rank,Unit_Id,Institution_name,foreign_2018,total_2018,foreign_2019,total_2019,foreign_2020,total_2020,intl_ratio_2018,intl_ratio_2019,intl_ratio_2020,ADDR,CITY,STABBR,ZIP,LONGITUD,LATITUDE,COSTT4_A,COSTT4_P,total_cost
23,218061,Francis Marion University,17,731,8,716,3,727,0.023255813953488372,0.0111731843575419,0.0041265474552957355,4822 East Palmetto Street,Florence,SC,29506,-79.652854,34.189777,21888,0,87552
23,218539,Presbyterian College,7,310,2,342,5,313,0.022580645161290321,0.0058479532163742687,0.015974440894568689,503 South Broad Street,Clinton,SC,29325,-81.87448,34.465834,53720,0,214880
23,217925,Columbia International University,8,109,3,132,5,154,0.073394495412844041,0.022727272727272728,0.032467532467532464,7435 Monticello Rd,Columbia,SC,29203-1513,-81.07443,34.07551,36979,0,147916
23,218441,North Greenville University,5,504,1,404,6,387,0.00992063492063492,0.0024752475247524753,0.015503875968992248,7801 N. Tigerville Road,Tigerville,SC,29688-1892,-82.37026,35.069758,37771,0,151084
23,218973,Wofford College,14,465,7,474,6,496,0.030107526881720432,0.014767932489451477,0.012096774193548387,429 N Church St,Spartanburg,SC,29303-3663,-81.933568,34.959411,62262,0,249048
23,217864,Citadel Military College of South Carolina,9,703,12,646,6,582,0.012802275960170697,0.018575851393188854,0.010309278350515464,171 Moultrie St,Charleston,SC,29409,-79.958775,32.797183,30022,0,120088
23,218070,Furman University,18,713,7,648,8,514,0.025245441795231416,0.010802469135802469,0.01556420233463035,3300 Poinsett Highway,Greenville,SC,29613-6162,-82.440458,34.924676,67299,0,269196
23,218654,University of South Carolina-Beaufort,6,413,8,449,8,358,0.014527845036319613,0.017817371937639197,0.0223463687150838,1 University Boulevard,Bluffton,SC,29909,-80.973595,32.303308,24235,0,96940
23,218742,University of South Carolina-Upstate,15,1011,19,881,11,754,0.01483679525222552,0.021566401816118047,0.014588859416445624,800 University Way,Spartanburg,SC,29303-4999,-81.970583,34.996403,23660,0,94640
23,217819,College of Charleston,20,2199,21,2051,14,2052,0.0090950432014552073,0.010238907849829351,0.00682261208576998,66 George St,Charleston,SC,29424-0001,-79.939794,32.784225,29545,0,118180
23,217882,Clemson University,22,3789,21,3932,15,4199,0.0058062813407231458,0.005340793489318413,0.00357227911407478,201 Sikes Hall,Clemson,SC,29634,-82.835114,34.679381,32254,0,129016
23,218229,Lander University,11,870,23,943,15,861,0.01264367816091954,0.024390243902439025,0.017421602787456445,320 Stanley Avenue,Greenwood,SC,29649-2099,-82.164736,34.199892,24474,0,97896
23,218414,Newberry College,15,374,18,340,18,309,0.040106951871657755,0.052941176470588235,0.058252427184466021,2100 College St,Newberry,SC,29108,-81.619777,34.285868,42320,0,169280
23,218724,Coastal Carolina University,32,2329,30,2304,19,2056,0.013739802490339202,0.013020833333333334,0.00924124513618677,103 Tom Trout Drive,Conway,SC,29526,-79.011767,33.794995,24313,0,97252
23,217749,Bob Jones University,41,605,36,655,21,597,0.067768595041322308,0.0549618320610687,0.035175879396984924,1700 Wade Hampton Boulavard,Greenville,SC,29614-0001,-82.365838,34.874016,28498,0,113992
38,219259,Northern State University,6,339,11,342,3,341,0.017699115044247787,0.032163742690058478,0.0087976539589442824,1200 S Jay St,Aberdeen,SD,57401-7198,-98.484728,45.450829,21388,0,85552
38,219471,University of South Dakota,26,1427,16,1308,10,1238,0.018220042046250877,0.012232415902140673,0.0080775444264943458,414 E Clark St,Vermillion,SD,57069-2390,-96.925283,42.786019,23016,0,92064
38,219198,Mount Marty College,3,135,1,131,15,158,0.022222222222222223,0.0076335877862595417,0.0949367088607595,1105 W. 8th Street,Yankton,SD,57078-3724,-97.409904,42.874475,41044,0,164176
16,221519,The University of the South,21,477,19,438,29,490,0.0440251572327044,0.043378995433789952,0.059183673469387757,735 University Avenue,Sewanee,TN,37383-1000,-85.920179,35.204719,62647,0,250588
16,221847,Tennessee Technological University,18,1890,25,1705,22,1720,0.0095238095238095247,0.01466275659824047,0.012790697674418604,1 William L. Jones Drive,Cookeville,TN,38505-0001,-85.504039,36.174754,24458,0,97832
16,220978,Middle Tennessee State University,46,2897,57,3312,59,3093,0.015878494994822231,0.017210144927536232,0.019075331393469123,1301 East Main Street,Murfreesboro,TN,37132,-86.360618,35.848005,21241,0,84964
16,221999,Vanderbilt University,208,1602,234,1604,158,1698,0.12983770287141075,0.14588528678304238,0.093050647820965837,2101 West End Avenue,Nashville,TN,37240,-86.803369,36.14659,73148,0,292592
16,221661,Southern Adventist University,4,502,4,512,2,493,0.00796812749003984,0.0078125,0.0040567951318458417,4881 Taylor Cir,Collegedale,TN,37315-0370,-85.052088,35.048254,35820,0,143280
16,220710,Maryville College,1,282,6,272,3,271,0.0035460992907801418,0.022058823529411766,0.01107011070110701,502 E Lamar Alexander Pkwy,Maryville,TN,37804-5907,-83.964223,35.751505,49603,0,198412
16,221768,The University of Tennessee-Martin,11,1143,11,1160,3,1110,0.0096237970253718278,0.009482758620689655,0.0027027027027027029,554 University Street,Martin,TN,38238,-88.864211,36.340338,21200,0,84800
16,220516,King University,6,188,9,202,5,158,0.031914893617021274,0.044554455445544552,0.031645569620253167,1350 King College Rd,Bristol,TN,37620-2699,-82.159421,36.585309,42662,0,170648
16,220613,Lee University,20,880,21,792,12,685,0.022727272727272728,0.026515151515151516,0.017518248175182483,1120 N Ocoee St,Cleveland,TN,37311,-84.871399,35.166019,31522,0,126088
16,220075,East Tennessee State University,20,1976,15,1786,13,1651,0.010121457489878543,0.0083986562150056,0.007874015748031496,1276 Gilbreath Drive,Johnson City,TN,37614,-82.366954,36.301643,22323,0,89292
16,221740,The University of Tennessee-Chattanooga,17,2268,6,2310,15,2222,0.0074955908289241618,0.0025974025974025974,0.0067506750675067504,615 McCallie Ave,Chattanooga,TN,37403-2598,-85.300247,35.047519,23436,0,93744
16,219806,Carson-Newman University,10,483,14,557,15,383,0.020703933747412008,0.025134649910233394,0.0391644908616188,1646 S Russell Ave,Jefferson City,TN,37760,-83.491709,36.122934,40422,0,161688
16,220862,University of Memphis,50,2480,49,2683,33,2540,0.020161290322580645,0.018263138278046962,0.012992125984251968,Southern Avenue,Memphis,TN,38152,-89.938068,35.118878,24139,0,96556
3,228723,Texas A & M University-College Station,133,11133,74,10613,72,11110,0.011946465463037816,0.0069725807971355884,0.0064806480648064808,"JKW Administration Building, Suite 200",College Station,TX,77843-1248,-96.336475,30.618726,29920,0,119680
3,228875,Texas Christian University,108,2194,78,2159,58,2287,0.049225159525979945,0.036127836961556276,0.025360734586794928,2800 S University Dr,Fort Worth,TX,76129,-97.364758,32.70961,68072,0,272288
3,228246,Southern Methodist University,75,1530,80,1544,44,1531,0.049019607843137254,0.05181347150259067,0.028739386022207707,6425 Boaz St,Dallas,TX,75275-0221,-96.783365,32.843612,76346,0,305384
3,229115,Texas Tech University,111,6171,91,6145,73,6522,0.017987360233349538,0.014808787632221317,0.011192885617908616,Broadway and University Avenue,Lubbock,TX,79409-5005,-101.874783,33.583448,23191,0,92764
3,223232,Baylor University,116,3366,114,3307,114,3731,0.0344622697563874,0.034472331418203807,0.030554811042615922, ,Waco,TX,76798,-97.121041,31.546872,65222,0,260888
